ANIO,descripcion,DEF_AMENABLES,GRUPO
2014,Apendicitis,50.00,Digestivo
2014,Diabetes mellitus,374.00,Endócrino/Metabólico
2014,Enfermedades del tiroides,46.00,Endócrino/Metabólico
2014,Accidentes durante atención médica,830.00,Iatrogénico
2014,Septicemia,4574.00,Infecciosas
2014,Tuberculosis y secuelas,480.00,Infecciosas
2014,Infecciones intestinales,113.00,Infecciosas
2014,Tos convulsa,4.00,Infecciosas
2014,Tétanos,1.00,Infecciosas
2014,Muertes perinatales,4122.00,Materno-Perinatal
2014,Muerte materna,303.00,Materno-Perinatal
2014,Ca. colon y recto,4118.00,Neoplasias
2014,Ca. mama,3618.00,Neoplasias
2014,Ca. cuello uterino,967.00,Neoplasias
2014,Leucemia,467.00,Neoplasias
2014,Ca. cuerpo uterino,179.00,Neoplasias
2014,Ca. testículo,176.00,Neoplasias
2014,Enfermedad de Hodgkin,142.00,Neoplasias
2014,Ca. piel (no melanoma),128.00,Neoplasias
2014,Epilepsia,258.00,Neurológico
2014,Neumonía,6755.00,Respiratorio
2014,Enf. respiratorias excl. neumonía e influenza (1-14),164.00,Respiratorio
2014,Nefritis y nefrosis,3249.00,Urogenital
2014,Hiperplasia benigna de próstata,9.00,Urogenital
2015,Enfermedad cerebrovascular,8478.00,Cardiovascular
2015,Cardiopatía isquémica (50%),5071.50,Cardiovascular
2015,Hipertensión arterial,2268.00,Cardiovascular
2015,Enf. reumática cardíaca crónica,76.00,Cardiovascular
2015,Anomalías cardiovasculares congénitas,938.00,Congénito
2015,Úlcera péptica,194.00,Digestivo
2015,Colelitiasis y colecistitis,184.00,Digestivo
2015,Hernia abdominal,138.00,Digestivo
2015,Apendicitis,52.00,Digestivo
2015,Diabetes mellitus,421.00,Endócrino/Metabólico
2015,Enfermedades del tiroides,45.00,Endócrino/Metabólico
2015,Accidentes durante atención médica,981.00,Iatrogénico
2015,Septicemia,4015.00,Infecciosas
2015,Tuberculosis y secuelas,474.00,Infecciosas
2015,Infecciones intestinales,99.00,Infecciosas
2015,Tos convulsa,12.00,Infecciosas
2015,Tétanos,5.00,Infecciosas
2015,Muertes perinatales,3706.00,Materno-Perinatal
2015,Muerte materna,332.00,Materno-Perinatal
2015,Ca. colon y recto,4197.00,Neoplasias
2015,Ca. mama,3726.00,Neoplasias
2015,Ca. cuello uterino,988.00,Neoplasias
2015,Leucemia,473.00,Neoplasias
2015,Ca. testículo,197.00,Neoplasias
2015,Ca. cuerpo uterino,177.00,Neoplasias
2015,Enfermedad de Hodgkin,151.00,Neoplasias
2015,Ca. piel (no melanoma),144.00,Neoplasias
2015,Epilepsia,276.00,Neurológico
2015,Neumonía,7640.00,Respiratorio
2015,Enf. respiratorias excl. neumonía e influenza (1-14),124.00,Respiratorio
2015,Influenza,5.00,Respiratorio
2015,Nefritis y nefrosis,3460.00,Urogenital
2015,Hiperplasia benigna de próstata,11.00,Urogenital
2016,Enfermedad cerebrovascular,8964.00,Cardiovascular
2016,Cardiopatía isquémica (50%),5324.50,Cardiovascular
2016,Hipertensión arterial,2324.00,Cardiovascular
2016,Enf. reumática cardíaca crónica,66.00,Cardiovascular
